news_uid,team,date,score,score_norm,is_relevant,reason
dc9c5787ae6f,Fenerbahce,2025-08-15,0,0.0,False,Routine team news and tactics — no signal of manager change.
031f40bdc985,Karagumruk,2025-08-15,0,0.0,False,"Routine quote from manager, no signal of manager change."
b589ad36f811,Trabzonspor,2025-08-15,2,0.5,True,"Article hints at a surprise separation signal, implying potential manager change due to criticism or poor results."
a605ea7fb652,Karagumruk,2025-08-16,0,0.0,False,Routine quote from manager about a match — no signal of change.
1c563859983c,Eyupspor,2025-08-18,0,0.0,False,"Routine quote from the manager, no indication of a potential change."
b1dfc4452efa,Fenerbahce,2025-08-18,3,0.75,True,"Multiple departures and speculation about a potential new manager, indicating strong signal of a manager change coming."
e2fb155b910c,Gaziantep,2025-08-18,0,0.0,False,"New manager appointment not mentioned, but team has already parted ways with their coach — post-change article."
bedc9b817092,Gaziantep,2025-08-18,0,0.0,False,New manager appointed — post-change article.
3aa95f8473a7,Fenerbahce,2025-08-19,0,0.0,False,Routine match preview with current manager — no signal of change.
04215029c340,Gaziantep,2025-08-19,0,0.0,False,New manager appointed — post-change article.
19f8de72c232,Gaziantep,2025-08-19,0,0.0,False,"New manager change already done, article reports separation from previous coach."
36c57b78f8a8,Gaziantep,2025-08-19,0,0.0,False,New manager appointed — post-change article.
2e9196c33c4a,Kocaelispor,2025-08-19,0,0.0,False,Routine quote from manager about upcoming match tactics.
819c9f760a6c,Trabzonspor,2025-08-19,0,0.0,False,Routine quote from manager — no signal of change.
bebe4fe1a9f0,Besiktas,2025-08-20,0,0.0,False,Routine pre-match quote from opposing team's manager.
393ec8ebf2a6,Buyuksehyr,2025-08-20,0,0.0,False,"Routine quote from manager about a decision, no indication of change."
e73c6dd1aa6f,Buyuksehyr,2025-08-20,0,0.0,False,Routine quote from manager before an important match — no signal of change.
e4b102773ff1,Karagumruk,2025-08-20,0,0.0,False,Article mentions another team and does not signal a manager change for Karagumruk.
30fa88ff5a2e,Karagumruk,2025-08-22,0,0.0,False,"New manager appointed for Trabzonspor women's team, not related to Karagumruk."
5d64edd957d4,Karagumruk,2025-08-22,0,0.0,False,"New manager appointed — post-change article, but not relevant to Karagumruk team."
eb874c49d766,Fenerbahce,2025-08-23,2,0.5,True,"Manager potentially leaving due to meeting with club president, signaling moderate change possibility."
39b3a958f448,Fenerbahce,2025-08-23,2,0.5,True,Manager under pressure with potential replacement candidate mentioned.
24e4b9f47dc0,Goztep,2025-08-23,0,0.0,False,Routine quote from the manager after a match.
b294eeca7606,Fenerbahce,2025-08-24,3,0.75,True,Named replacement candidates and rumors of manager departure.
25da012d4431,Galatasaray,2025-08-25,2,0.5,True,Article hints at potential manager change with phrase 'ayrılık kapıda' meaning separation is at the door.
481d4b996aeb,Trabzonspor,2025-08-25,0,0.0,False,Routine quote or player news — no signal of manager change.
89636ee48846,Fenerbahce,2025-08-26,0,0.0,False,Routine quote from the manager about upcoming match tactics.
fdb35b1e8b69,Fenerbahce,2025-08-26,0,0.0,False,Routine quote from current manager Jose Mourinho.
ebf7c3e77e2c,Fenerbahce,2025-08-26,1,0.25,True,Manager fielding criticism and departure questions indirectly through transfer comments.
c4002d45d05c,Buyuksehyr,2025-08-27,0,0.0,False,Routine quote from manager about an upcoming match — no signal of manager change.
1850d595633e,Buyuksehyr,2025-08-27,0,0.0,False,"Routine quote from manager, no indication of change."
c417d8b48dc0,Rizespor,2025-08-27,0,0.0,False,Routine quote from manager about upcoming match — no signal of change.
964705a26cda,Samsunspor,2025-08-27,0,0.0,False,Routine quote from current manager about upcoming matches.
7c9da342f9e8,Besiktas,2025-08-28,3,0.75,True,"Named replacement candidate for current manager, indicating a potential change is being considered."
f973a87a051f,Besiktas,2025-08-28,0,0.0,False,New manager appointed — post-change article.
ee9b347a1562,Besiktas,2025-08-28,0,0.0,False,New manager departure confirmed and already done — post-change article.
25303c95eed9,Besiktas,2025-08-28,4,1.0,True,Confirmed resignation of head coach announced after the match.
aff54083c765,Besiktas,2025-08-28,1,0.25,True,Manager fielding departure questions after a match.
068c86749ed0,Besiktas,2025-08-28,1,0.25,True,Searching for new coach and discussing previous manager's departure — mild signal.
14ed92007a6f,Besiktas,2025-08-28,2,0.5,True,"Manager fielding departure questions, indicating moderate signal of potential change."
ed4cf705de29,Besiktas,2025-08-28,4,1.0,True,Confirmed firing of head coach Ole Gunnar Solskjaer.
a2a2d3ebda34,Besiktas,2025-08-28,2,0.5,True,Manager's potential departure questioned after poor results.
0c9a44d2d3a8,Besiktas,2025-08-28,0,0.0,False,"New manager appointment is not mentioned, but the previous manager's tenure has ended — post-change article."
1a42f4bdf1aa,Besiktas,2025-08-28,0,0.0,True,"New manager appointment not mentioned, but change already done as indicated by 'sacked'."
1ccae5bb56e8,Besiktas,2025-08-28,0,0.0,False,"New manager appointment not mentioned, but change already done as manager was sacked."
e6eb9e8a3a3e,Besiktas,2025-08-28,4,1.0,True,Confirmed sacking of head coach Ole Gunnar Solskjaer by Besiktas.
fa102ffafdd7,Besiktas,2025-08-28,4,1.0,True,Confirmed firing of head coach Ole Gunnar Solskjaer by Besiktas.
99c5d01e6d57,Besiktas,2025-08-28,0,0.0,False,"New manager appointment not mentioned, but change already done as indicated by 'SACKED'."
d3a254056602,Besiktas,2025-08-28,0,0.0,False,New manager departure already happened — post-change article.
c9f54aab63a9,Besiktas,2025-08-28,4,1.0,True,Confirmed sacking of head coach Ole Gunnar Solskjaer by Besiktas.
e94ec1ce2c85,Besiktas,2025-08-28,0,0.0,False,"New manager appointment or change already done, and the team mentioned is not relevant to the article content."
a2f3444c8ff8,Besiktas,2025-08-28,0,0.0,False,"Article is about a different team and league, not related to Besiktas."
0e839dcaa735,Fenerbahce,2025-08-28,3,0.75,True,"Board reportedly pressuring president regarding the current manager, indicating strong signal of potential change."
46448c7f2047,Fenerbahce,2025-08-28,0,0.0,False,Routine post-match quote with no indication of manager change.
d8801821b5fa,Genclerbirligi,2025-08-28,0,0.0,False,"Routine quote from the manager, no signal of a change."
158faaf2ac82,Besiktas,2025-08-29,0,0.0,False,New manager appointed — post-change article.
d327db17f31a,Besiktas,2025-08-29,0,0.0,False,New manager appointed — post-change article.
b62645e3e477,Besiktas,2025-08-29,0,0.0,False,New manager appointment already done and being reported on in the past tense.
f9858df87115,Besiktas,2025-08-29,0,0.0,False,New manager appointed — post-change article.
c1c9ac6df3f9,Besiktas,2025-08-29,0,0.0,False,"New manager change already done, post-change article."
fd354fc8b994,Besiktas,2025-08-29,0,0.0,False,New manager appointed — post-change article.
9d62b4541e8d,Besiktas,2025-08-29,0,0.0,False,"New manager appointment mentioned, indicating a post-change article."
e4c6da4fcc31,Besiktas,2025-08-29,0,0.0,False,New manager appointed — post-change article.
f28c0a993665,Besiktas,2025-08-29,0,0.0,False,"Article discusses manager changes in other teams, not related to Besiktas."
cb596953d823,Besiktas,2025-08-29,4,1.0,True,Confirmed firing of head coach after European competition exit.
d62113eb16df,Besiktas,2025-08-29,1,0.25,True,Manager fielding departure questions before sacking — mild signal.
66c07734de4f,Besiktas,2025-08-29,0,0.0,False,"Article discusses manager changes at Manchester United, not Besiktas."
1e7abdfc9635,Besiktas,2025-08-29,0,0.0,False,"New manager appointment not mentioned, but article reports on completed sackings — post-change article."
00637ef2fee3,Besiktas,2025-08-29,0,0.0,False,"New manager appointment not mentioned, but change already done as former manager is mentioned."
8ce222559735,Besiktas,2025-08-29,0,0.0,False,"New manager appointment not mentioned, but change already done as Solskjaer was sacked."
0eb5c26a9080,Besiktas,2025-08-29,1,0.25,True,"Mention of recent sackings in the league, implying a trend that could affect Besiktas' manager."
a5530a098c2c,Fenerbahce,2025-08-29,3,0.75,True,Named replacement candidates mentioned for the current manager.
6970e5144873,Fenerbahce,2025-08-29,3,0.75,True,"Named replacement candidates mentioned, indicating a potential manager change is coming."
7315d235c4cc,Fenerbahce,2025-08-29,4,1.0,True,Confirmed departure of head coach Mourinho from Fenerbahce.
6566613f9f9b,Fenerbahce,2025-08-29,4,1.0,True,Confirmed departure of current manager and discussion of new candidates.
2240004d8592,Fenerbahce,2025-08-29,2,0.5,True,Explicit board criticism implied through 'intikam' and a manager's departure decision.
bd18121cabcf,Fenerbahce,2025-08-29,1,0.25,True,Replacement search after dismissal — mild signal.
4ff2297056ea,Fenerbahce,2025-08-29,2,0.5,True,Article speculates about potential manager change and departure of current coach.
20d0f8b1a0ac,Fenerbahce,2025-08-29,3,0.75,True,"Article speculates about manager's potential departure, indicating strong signal of a possible change."
7c474bf39a70,Fenerbahce,2025-08-29,4,1.0,True,Confirmed resignation of head coach Mourinho from Fenerbahce.
7c81a8bce2a7,Fenerbahce,2025-08-29,4,1.0,True,Confirmed firing of head coach Mourinho.
374e3074053d,Fenerbahce,2025-08-29,3,0.75,True,Named replacement candidate after current manager's potential departure — strong signal.
13642ab25ce2,Fenerbahce,2025-08-29,3,0.75,True,Named replacement candidate for current manager.
5dbf8397a4a1,Fenerbahce,2025-08-29,1,0.25,True,Manager departure discussed in media — mild signal.
f3e238aef088,Fenerbahce,2025-08-29,2,0.5,True,"Media criticism and speculation about the manager's future, implying potential change due to high costs."
bb11f2ac09a4,Fenerbahce,2025-08-29,0,0.0,False,New manager departure already confirmed — post-change article.
6e56fbc7964c,Fenerbahce,2025-08-29,0,0.0,False,New manager departure already occurred — post-change article.
16ec99f42079,Fenerbahce,2025-08-29,0,0.0,False,"New manager appointment not mentioned, but change already done as Mourinho was sacked."
ca2e8c1b7b64,Fenerbahce,2025-08-29,0,0.0,False,New manager departure already confirmed — post-change article.
f83f23630009,Fenerbahce,2025-08-29,0,0.0,False,"New manager appointment not mentioned, but change already done as manager was sacked."
14b03e9d41fd,Fenerbahce,2025-08-29,0,0.0,False,"New manager appointment not mentioned, but change already done — post-change article."
a04d97c3e0f4,Fenerbahce,2025-08-29,0,0.0,False,"New manager appointment not mentioned, but change already done as manager has parted company with the team."
62d2b2626fb4,Fenerbahce,2025-08-29,2,0.5,True,Named replacement candidate for potential future manager change.
21d9c2dafbe9,Fenerbahce,2025-08-29,0,0.0,False,New manager firing already done — post-change article.
1a572159be0c,Fenerbahce,2025-08-29,0,0.0,False,New manager already sacked — post-change article.
d6255a104204,Fenerbahce,2025-08-29,4,1.0,True,Confirmed firing of head coach Jose Mourinho by Fenerbahce.
595c381155c0,Fenerbahce,2025-08-29,0,0.0,False,Routine quote and past events about a manager — no signal of change.
8f6dbd49e14e,Fenerbahce,2025-08-29,0,0.0,False,New manager departure already occurred — post-change article.
e3d2fa54a142,Fenerbahce,2025-08-29,4,1.0,True,Confirmed sacking of head coach Jose Mourinho by Fenerbahce.
8b09b454d8bc,Fenerbahce,2025-08-29,0,0.0,False,New manager departure already occurred — post-change article.
1776c809dc43,Fenerbahce,2025-08-29,4,1.0,True,Confirmed firing of head coach Jose Mourinho by Fenerbahce.
9c7431165551,Fenerbahce,2025-08-29,0,0.0,False,New manager departure already confirmed — post-change article.
fc1e494ad920,Fenerbahce,2025-08-29,3,0.75,True,named replacement
e9d6858df138,Fenerbahce,2025-08-29,4,1.0,True,Jose Mourinho has been sacked by Fenerbahce two games into the new season.
1bd634548b5a,Fenerbahce,2025-08-29,4,1.0,True,Confirmed firing/resignation due to Champions League failure.
882c1ea11206,Fenerbahce,2025-08-29,4,1.0,True,Jose Mourinho leaves Fenerbahce as Premier League clubs put on red alert
2c3c23c8a690,Fenerbahce,2025-08-29,1,0.25,True,"The article mentions a potential return to the Premier League, implying a departure from Fenerbahce, but does not confirm it."
f0407181f9a2,Fenerbahce,2025-08-29,0,0.0,False,No relation to Fenerbahce
771fdad85e3c,Genclerbirligi,2025-08-29,4,1.0,True,"The article mentions Mourinho's departure decision, indicating a confirmed firing."
aa29311dc367,Besiktas,2025-08-30,0,0.0,False,new coach profile
24dad1bd5d89,Besiktas,2025-08-30,0,0.0,True,"The article is about the new coach of Beşiktaş, but it's about speculation and possibilities, not a confirmed appointment or firing."
2e93b44d147d,Besiktas,2025-08-30,0,0.0,False,new coach appointment
0d60d113d3e5,Besiktas,2025-08-30,0,0.0,False,new coach profile
e2217c03cb81,Besiktas,2025-08-30,0,0.0,False,new coach profile
6e1c8b1fe24c,Besiktas,2025-08-30,4,1.0,True,"The article mentions Solskjaer's dismissal and the determination of a new coach, indicating a confirmed firing/resignation."
23134b9b0254,Fenerbahce,2025-08-30,0,0.0,True,new coach profile
e8780390ae1d,Fenerbahce,2025-08-30,0,0.0,True,new coach profile
8ceef1ff641e,Fenerbahce,2025-08-30,0,0.0,True,new coach profile
db220f25d7e0,Fenerbahce,2025-08-30,0,0.0,False,The article headline does not mention a manager change or a new appointment at Fenerbahce.
61f7409677bc,Fenerbahce,2025-08-30,4,1.0,True,The article is about the confirmed sacking of Jose Mourinho from Fenerbahce.
53b27f854766,Fenerbahce,2025-08-30,4,1.0,True,Confirmed firing/resignation NOW.
79b928488081,Fenerbahce,2025-08-30,4,1.0,True,"The article mentions the sacking of Fenerbahce's manager, indicating a confirmed firing."
c7c69b6fcead,Fenerbahce,2025-08-30,4,1.0,True,"The article mentions Jose Mourinho's sacking from Fenerbahce and reveals his next move, indicating a confirmed firing."
51791a04a859,Fenerbahce,2025-08-30,4,1.0,True,Confirmed firing/resignation due to team performance.
71b14589b033,Kayserispor,2025-08-30,0,0.0,False,new coach profile
80cc5523d949,Antalyaspor,2025-08-31,3,0.75,True,"The article mentions the coach taking responsibility for a loss, indicating criticism and a strong possibility of a change."
0e84a720d2f8,Besiktas,2025-08-31,3,0.75,True,Protests/named replacement indicated by 'ayrılık operasyonu' (separation operation) and 'yeni teklif yolda' (new offer on the way) for Arroyo.
395099f5aa26,Fenerbahce,2025-08-31,0,0.0,True,new coach profile
24b91af61ea3,Fenerbahce,2025-08-31,0,0.0,True,"The article suggests a new coach profile, but does not indicate a change in the current manager."
27d4b1b290e9,Fenerbahce,2025-08-31,4,1.0,True,"The article is asking if Mourinho was fired or resigned, indicating a confirmed change in management."
deb25167f4f3,Fenerbahce,2025-08-31,4,1.0,True,"The article headline explicitly states that Mourinho's era has ended, indicating a confirmed firing."
3086a93ba6c5,Genclerbirligi,2025-08-31,0,0.0,True,"The article is about speculation on the new coach for Genclerbirligi's upcoming match, indicating a mild signal of a potential change."
6947c34317cd,Kocaelispor,2025-08-31,0,0.0,True,new appointment article
0043eeff565e,Kocaelispor,2025-08-31,3,0.75,True,"The article mentions Oğulcan's departure and mentions Mendes and Rivas' status, indicating a strong signal of change."
d735c362eebe,Besiktas,2025-09-01,4,1.0,False,"The article is about Manchester United, not Besiktas."
b3e86b90959d,Besiktas,2025-09-01,4,1.0,True,"The article mentions three managers being sacked in a week, indicating a high likelihood of a manager change."
cb27c6ab7d3a,Samsunspor,2025-09-01,0,0.0,False,"The article is about a player transfer, not a manager change."
21ee6494e40f,Fenerbahce,2025-09-02,4,1.0,True,Jose Mourinho was fired from Fenerbahce and a new coach profile is not mentioned.
99dff350101f,Trabzonspor,2025-09-02,3,0.75,True,"The article headline suggests a crisis at Trabzonspor and mentions the possibility of a resignation, indicating a strong signal for a potential manager change."
e211186e6de6,Trabzonspor,2025-09-02,3,0.75,True,"The article mentions a transfer and a potential departure, indicating a strong signal of a manager change."
29310481505f,Fenerbahce,2025-09-03,0,0.0,True,new coach profile
93080ad7ee01,Fenerbahce,2025-09-03,0,0.0,True,new coach profile
60a2d7be4756,Fenerbahce,2025-09-03,0,0.0,True,new coach profile
a1e0609cea9c,Fenerbahce,2025-09-03,3,0.75,True,"Article mentions four potential replacement options for the manager, indicating strong criticism or pressure on the current manager."
39b30cedf965,Fenerbahce,2025-09-03,3,0.75,True,"Mourinho is tipped for a major job at Fenerbahce following the sacking of the current coach, indicating strong criticism and a named replacement."
b7f8c6007306,Fenerbahce,2025-09-04,0,0.0,True,new appointment
b70d14492626,Fenerbahce,2025-09-04,0,0.0,True,new coach profile
7ac2ae203d36,Besiktas,2025-09-05,3,0.75,True,Protests/named replacement indicated by '3 ayrılık kapıda' which means 3 departures are on the horizon.
ab49101704dd,Besiktas,2025-09-05,0,0.0,False,"Article is about Manchester United, not Besiktas."
dae6fa640af2,Fenerbahce,2025-09-05,0,0.0,True,new coach profile
dd4be32c4a48,Fenerbahce,2025-09-05,0,0.0,False,new coach appointment
6c9d640b8684,Fenerbahce,2025-09-05,0,0.0,True,new coach profile
6302edcc1baa,Trabzonspor,2025-09-05,4,1.0,True,Confirmed resignation of Fatih Tekke as Trabzonspor's manager.
2016b43e20e8,Alanyaspor,2025-09-06,0,0.0,False,"The article is about a police chief being removed from duty, not related to the team's manager."
595e3ce6f510,Fenerbahce,2025-09-06,0,0.0,True,new appointment
d13b91b3dcc5,Fenerbahce,2025-09-06,3,0.75,True,"The article mentions a race to replace Jose Mourinho and names potential replacements, indicating strong expectation of a manager change."
41d8611bf110,Fenerbahce,2025-09-07,0,0.0,True,new coach profile
f6984a61a461,Trabzonspor,2025-09-07,4,1.0,True,"The article mentions that the manager prepared the starting lineup for the Trabzonspor match, implying that he has been fired or resigned."
1b727884b471,Antalyaspor,2025-09-08,4,1.0,True,"The article is about Vincenzo Montella's potential departure from Antalyaspor, which suggests a strong expectation of a manager change."
0beb204bc6ad,Besiktas,2025-09-08,3,0.75,True,"The article mentions a sudden departure before a match, indicating strong criticism or protests."
ee3ce2a3cd19,Buyuksehyr,2025-09-08,0,0.0,True,new coach profile
5b1369bbfa5e,Buyuksehyr,2025-09-08,4,1.0,True,"Confirmed firing/resignation of the current coach, Çağdaş Atan."
0f5ba5f8861a,Buyuksehyr,2025-09-08,4,1.0,True,"The article mentions a decision regarding the coach after Çağdaş Atan, indicating a confirmed firing or resignation."
c82e0ad590b2,Buyuksehyr,2025-09-08,0,0.0,True,"The article mentions a new coach announcement, which scores 0 according to the rules."
f0ca79a1dfe1,Buyuksehyr,2025-09-08,4,1.0,True,"The team has confirmed parted ways with their manager, indicating a strong signal of a manager change."
1183bbbc1de2,Buyuksehyr,2025-09-08,0,0.0,True,"The article headline suggests a statement from the team regarding the coach, but it does not indicate a change in the manager."
c70db23c7e0e,Buyuksehyr,2025-09-08,4,1.0,True,Confirmed firing/resignation of Çağdaş Atan from Büyükşehir.
0122c929eed3,Buyuksehyr,2025-09-08,0,0.0,True,new coach profile
36b6b96db089,Buyuksehyr,2025-09-08,3,0.75,True,Protests/named replacement indicated by 'geçici teknik direktör' meaning 'interim coach'
61688c18e6d0,Buyuksehyr,2025-09-08,4,1.0,True,"The article states that the manager, Çağdaş Atan, has left the team and that negotiations with Nuri Şahin have begun, indicating a confirmed firing."
280a25f0d8ea,Buyuksehyr,2025-09-08,4,1.0,True,Confirmed firing/resignation of Çağdaş Atan and the team has already chosen a new candidate.
b50e4a75535f,Buyuksehyr,2025-09-08,4,1.0,True,"The article states that Çağdaş Atan's era has ended at Başakşehir, indicating a confirmed firing or resignation."
8ba9cf2f24b9,Buyuksehyr,2025-09-08,4,1.0,True,"The team has parted ways with their coach, indicating a confirmed firing or resignation."
98bc34d13c36,Buyuksehyr,2025-09-08,4,1.0,True,The article explicitly states that Çağdaş Atan's tenure has ended.
f860984449a7,Fenerbahce,2025-09-08,0,0.0,True,new coach profile
02c64eb6b1da,Fenerbahce,2025-09-08,0,0.0,True,new coach profile
c8884ba13b12,Fenerbahce,2025-09-08,0,0.0,True,new coach profile
d91fcb3e94d4,Fenerbahce,2025-09-08,4,1.0,True,"The article discusses the real reason behind Mourinho's sudden departure from Fenerbahce, indicating a confirmed firing."
5599a4d7d7c3,Fenerbahce,2025-09-08,4,1.0,True,The article explicitly states that Mourinho has been sacked.
0f9bd3d148d2,Besiktas,2025-09-09,0,0.0,True,"The article mentions 4 managers leaving in the first 4 weeks, but does not specifically mention Besiktas or any other team's manager change."
7f6b4ef83f97,Besiktas,2025-09-09,4,1.0,True,"The article discusses the reason behind Solskjaer's departure, suggesting a confirmed firing."
56ffde245c96,Buyuksehyr,2025-09-09,4,1.0,True,Confirmed firing/resignation of Teknik Direktör Çağdaş Atan from Başakşehir
7973a93941a0,Buyuksehyr,2025-09-09,3,0.75,True,"The article mentions the departure of the current coach and names a potential replacement, indicating a strong expectation of a manager change."
451ced610dc2,Fenerbahce,2025-09-09,0,0.0,False,new coach profile
05a9b26e7874,Fenerbahce,2025-09-09,0,0.0,True,new coach profile
7cd87d419d1c,Fenerbahce,2025-09-09,0,0.0,False,new coach appointment
eff9ea765f18,Fenerbahce,2025-09-09,0,0.0,True,new coach profile
7799aadb4415,Fenerbahce,2025-09-09,0,0.0,True,new coach profile
0d89e2bad995,Fenerbahce,2025-09-09,0,0.0,True,new coach profile
6e1ba0abce4e,Fenerbahce,2025-09-09,0,0.0,False,new coach profile
9e4b92cc7072,Fenerbahce,2025-09-09,0,0.0,False,new coach profile
a53df55edafc,Fenerbahce,2025-09-09,0,0.0,False,new coach profile
fd7adb814169,Fenerbahce,2025-09-09,0,0.0,False,new appointment article
c5521925915c,Fenerbahce,2025-09-09,0,0.0,False,"The article is about Domenico Tedesco's profile, not a manager change."
a725543163c1,Fenerbahce,2025-09-09,3,0.75,True,Named replacement (Zinedine Zidane) amid links to replace Jose Mourinho at Fenerbahce.
e1a1820135ab,Fenerbahce,2025-09-09,4,1.0,True,Confirmed firing/resignation of Mourinho and appointment of new coach Tedesco.
f8272355c78d,Fenerbahce,2025-09-09,3,0.75,True,"The article mentions Fenerbahce aiming to hire a new coach, with Domenico Tedesco as a replacement for Jose Mourinho, indicating strong expectation of a manager change."
2bb0c7029d76,Fenerbahce,2025-09-09,0,0.0,False,new appointment
f32397912430,Antalyaspor,2025-09-10,3,0.75,True,"The article mentions a close departure at Beşiktaş, which is a different team from Antalyaspor, but it implies a significant change is expected."
05a3297620d1,Besiktas,2025-09-10,0,0.0,False,The article is about historical data and does not mention any recent managerial change or rumors.
bfa0eb95dee5,Buyuksehyr,2025-09-10,0,0.0,True,new coach profile
01bacf7a1069,Buyuksehyr,2025-09-10,3,0.75,True,"The article mentions Nuri Şahin as the strongest candidate for the manager position, indicating strong expectation of a change."
f8df8cd27195,Buyuksehyr,2025-09-10,0,0.0,False,new coach profile
ba24040c6efb,Fenerbahce,2025-09-10,0,0.0,False,new appointment
776680edcb8c,Fenerbahce,2025-09-10,0,0.0,True,new appointment
9beaf5de8a4c,Fenerbahce,2025-09-10,0,0.0,False,new coach appointment
6b8310edc1fd,Fenerbahce,2025-09-10,0,0.0,False,new coach appointment
a548c85c659e,Fenerbahce,2025-09-10,4,1.0,True,Confirmed resignation after Tedesco's departure
577179ce16af,Fenerbahce,2025-09-10,4,1.0,True,"The article headline suggests that Tedesco's choice has caused Fenerbahçe to be shaken, implying a strong criticism or protest, and the word 'istifa' means 'resignation' in Turkish."
b3278f69d7cb,Fenerbahce,2025-09-10,3,0.75,True,"The article mentions a potential replacement (Tedesco) and criticism of the current manager (Sadettin Saran), indicating strong expectation of a change."
87aa603a72a1,Fenerbahce,2025-09-10,0,0.0,True,new coach profile
f8edbb89138f,Fenerbahce,2025-09-10,3,0.75,True,"The article mentions a potential departure due to a presidential change and includes a statement from Tedesco, indicating strong criticism or protests."
7b3d18b3bc6f,Fenerbahce,2025-09-10,4,1.0,True,Confirmed firing/resignation of Jose Mourinho and appointment of a new coach.
2c3783016a2a,Fenerbahce,2025-09-10,4,1.0,True,"Confirmed firing/resignation of Jose Mourinho, followed by the appointment of a new manager, Domenico Tedesco."
0d2f50e7109a,Fenerbahce,2025-09-11,3,0.75,True,Protests/named replacement indicated by 'çifte ayrılık' which means double departure.
dc5308125088,Fenerbahce,2025-09-12,0,0.0,True,new coach profile
451555659c97,Fenerbahce,2025-09-12,0,0.0,True,new appointment article
97e26f72b904,Antalyaspor,2025-09-13,0,0.0,False,new coach profile
c12e81887535,Besiktas,2025-09-13,0,0.0,True,"The article mentions a former coach of the team, but does not indicate any change in the current manager."
ffba2311e44c,Besiktas,2025-09-13,3,0.75,True,Protests/named replacement (Solskjaer was axed by Besiktas)
05d8e87f5af9,Buyuksehyr,2025-09-13,0,0.0,False,new coach profile
de0fa80af702,Buyuksehyr,2025-09-13,0,0.0,False,new coach profile
